seed,total_score,activity_js_score,trace_length_wasserstein_score,train_cases,val_cases,test_cases,train_events,val_events,test_events
0,0.04914902349459795,0.03132389726201817,1.7825126232579784,3150,450,900,55172,7695,15688
1,0.04990915829627057,0.03163488348098675,1.827427481528382,3150,450,900,56655,7936,15330
2,0.03176968235857027,0.022560777578291412,0.9208904780278857,3150,450,900,55815,7979,16087
3,0.047547677756530314,0.03920403061530002,0.8343647141230295,3150,450,900,55695,7959,16210
4,0.050241006494722684,0.030134101134538106,2.0106905360184575,3150,450,900,56471,8539,16413
5,0.04580220958990519,0.024656307179890376,2.1145902410014816,3150,450,900,57364,8393,16066
6,0.05620610534674339,0.038580452179691596,1.7625653167051794,3150,450,900,56641,7699,16596
7,0.05799087124346335,0.04232841996294273,1.5662451280520622,3150,450,900,54993,8227,16256
8,0.06266256594296847,0.04569683245851913,1.6965733484449341,3150,450,900,56568,8153,16890
9,0.05633697681593618,0.03459855944780317,2.1738417368133005,3150,450,900,56338,7375,15873
10,0.04604486461788674,0.029512037738582075,1.6532826879304663,3150,450,900,55639,8403,16277
11,0.033983331515995197,0.017498756516566658,1.648457499942854,3150,450,900,55795,7775,15942
12,0.043751404002981324,0.02827664437930168,1.5474759623679646,3150,450,900,55495,7927,15614
13,0.036360814068189716,0.022641019921294366,1.3719794146895352,3150,450,900,57138,7838,16355
14,0.04729830354379619,0.029518030154524852,1.7780273389271337,3150,450,900,56669,8355,15409
15,0.03580087932997848,0.026006198733025135,0.9794680596953349,3150,450,900,56345,8098,15981
16,0.05380042944198832,0.03598386484142649,1.7816564600561828,3150,450,900,55017,8188,16724
17,0.037916792525356055,0.025485801222598248,1.2430991302757808,3150,450,900,54757,8120,16189
18,0.035760412451792296,0.021010519850879115,1.474989260091318,3150,450,900,55335,8398,16079
19,0.0415612254211815,0.032007550481222405,0.9553674939959091,3150,450,900,56598,7909,16008
20,0.025258542266276142,0.013527009284919674,1.1731532981356465,3150,450,900,55650,7995,16237
21,0.03696688152176007,0.025725873624017147,1.1241007897742927,3150,450,900,55739,7894,15883
22,0.04665479313598918,0.03082551139006954,1.582928174591964,3150,450,900,55756,7812,16090
23,0.05555405897371487,0.037114632730872434,1.8439426242842436,3150,450,900,56956,8376,15476
24,0.024588796183653727,0.014627212745117288,0.9961583438536441,3150,450,900,55725,7947,16104
25,0.04516184917966365,0.027242677692026134,1.7919171487637515,3150,450,900,55209,7810,16349
26,0.04012261397992721,0.02622703412569245,1.3895579854234756,3150,450,900,56982,8251,15980
27,0.038029194637581754,0.02261320823982292,1.5415986397758836,3150,450,900,55952,8296,15588
28,0.033561516623872634,0.021087705240241714,1.2473811383630917,3150,450,900,55686,8249,15839
29,0.04725457637077503,0.0341705791259997,1.308399724477532,3150,450,900,55095,8057,15626
30,0.03837753779411074,0.02272488208112024,1.56526557129905,3150,450,900,55884,7763,16138
31,0.030970494893604143,0.01807683047620111,1.2893664417403037,3150,450,900,56388,7895,15727
32,0.05432763593426204,0.034754543741344374,1.9573092192917663,3150,450,900,54994,7527,16368
33,0.05836367947402685,0.04342917145057792,1.493450802344893,3150,450,900,55747,7757,15602
34,0.03332540493113617,0.02298177593997059,1.0343628991165579,3150,450,900,56539,8072,16177
35,0.0388162734472766,0.023353864113572254,1.5462409333704352,3150,450,900,56497,8047,16502
36,0.04061780321001265,0.02691472576570314,1.3703077444309506,3150,450,900,56970,8117,15785
37,0.031952441493409575,0.020119110176750155,1.183333131665942,3150,450,900,56148,7864,15680
38,0.039075615064546376,0.02679765574130632,1.2277959323240055,3150,450,900,55439,8080,15916
39,0.03840444441787803,0.0211568439684735,1.7247600449404525,3150,450,900,56495,8452,15783
40,0.04150681682112454,0.02573088040102544,1.5775936420099097,3150,450,900,57557,8087,16204
41,0.045060526312231494,0.029210449745847356,1.5850076566384135,3150,450,900,56395,8136,15197
42,0.03290942217207957,0.01747208085630301,1.5437341315776556,3150,450,900,57004,8405,16193
43,0.0332127450186192,0.020083866652286408,1.3128878366332788,3150,450,900,56514,7787,15700
44,0.0453886409356478,0.028765040384065153,1.6623600551582651,3150,450,900,55011,7693,15872
45,0.032412892390131356,0.016763997370553996,1.5648895019577358,3150,450,900,55772,7743,15796
46,0.046394976086454646,0.029650637539795376,1.674433854665927,3150,450,900,56641,8168,16564
47,0.03696683853979392,0.022169212120111588,1.4797626419682333,3150,450,900,56033,7844,16464
48,0.04682764081446038,0.026984208516218577,1.9843432298241797,3150,450,900,56651,8146,16293
49,0.04232776714561193,0.025368975769626434,1.6958791375985494,3150,450,900,57020,7984,16880
50,0.028874647212739628,0.016601556005751406,1.2273091206988223,3150,450,900,55752,8128,16117
51,0.04634319096484951,0.03037253634803327,1.5970654616816242,3150,450,900,55934,8052,16844
52,0.032874739295233754,0.020861007269959937,1.2013732025273816,3150,450,900,56587,8045,16090
53,0.030215617902868485,0.014208559185840595,1.6007058717027889,3150,450,900,56641,7741,15948
54,0.04346637573651646,0.03222134193034038,1.124503380617608,3150,450,900,55884,7979,16479
55,0.03458825767230279,0.021365340280193774,1.3222917392109015,3150,450,900,56459,8298,15800
56,0.02939443563287504,0.018453690619773457,1.0940745013101585,3150,450,900,55874,7873,16088
57,0.04760608004739883,0.02613244944737567,2.1473630600023155,3150,450,900,56437,8489,16549
58,0.07488993194640366,0.05405012231145299,2.083980963495067,3150,450,900,55319,7739,15813
59,0.04339609769347093,0.029167927538182627,1.4228170155288304,3150,450,900,56121,8242,16200
60,0.04394734757206355,0.029141328383187746,1.48060191888758,3150,450,900,56785,8231,16320
61,0.03056465980353596,0.017858515401620978,1.2706144401914985,3150,450,900,56567,7854,16229
62,0.04957042563007347,0.03487135209004456,1.46990735400289,3150,450,900,55950,8356,16128
63,0.031286479394911505,0.018216017975451,1.3070461419460506,3150,450,900,56340,7797,15962
64,0.03752053650945676,0.023033050642979454,1.4487485866477305,3150,450,900,55669,7765,15523
65,0.03408552941111367,0.021400646308734363,1.2684883102379305,3150,450,900,55841,8179,16217
66,0.0498056578528069,0.03231959934327235,1.7486058509534543,3150,450,900,55649,7600,16023
67,0.0432745113589427,0.02789481218394161,1.5379699175001087,3150,450,900,56912,8239,15532
68,0.034263986813002224,0.020077024071724053,1.4186962741278173,3150,450,900,56554,7692,16135
69,0.03886910871490232,0.024037170875064823,1.4831937839837495,3150,450,900,56497,7761,16554
70,0.03815700815836765,0.027382364291767547,1.0774643866600107,3150,450,900,56049,8179,15864
71,0.0379893137305547,0.026764816117624372,1.1224497612930324,3150,450,900,56450,7896,15749
72,0.03668772854980595,0.022025957381340666,1.4661771168465279,3150,450,900,56989,7964,15586
73,0.03405880482895517,0.021390961545129015,1.266784328382616,3150,450,900,55414,7830,15807
74,0.031659909267187966,0.019314405351927758,1.234550391526021,3150,450,900,56148,7856,16202
75,0.04080762783071987,0.025789057491152373,1.5018570339567496,3150,450,900,56471,8018,15436
76,0.0424654398455951,0.026828460141849052,1.5636979703746055,3150,450,900,55001,7827,16216
77,0.039496045673405804,0.02487335428321398,1.4622691390191824,3150,450,900,55558,8236,15827
78,0.03389497842255304,0.025000008500123336,0.8894969922429704,3150,450,900,56138,8127,15982
79,0.04352451638967024,0.02751890985708104,1.6005606532589196,3150,450,900,55423,8094,16064
80,0.02517363178337751,0.016005190219639698,0.9168441563737815,3150,450,900,55831,7889,15936
81,0.04015217679464181,0.0209249821269068,1.922719466773501,3150,450,900,55165,8405,15791
82,0.04616582783556086,0.029371569754188556,1.679425808137231,3150,450,900,56352,8312,15415
83,0.038309622605178416,0.02195424644396645,1.6355376161211965,3150,450,900,56256,8332,15609
84,0.029798136910909642,0.018333328049017363,1.1464808861892282,3150,450,900,56338,8229,16025
85,0.032775456436569345,0.02220372554332181,1.0571730893247535,3150,450,900,55266,8147,15758
86,0.04877849408996336,0.038296175658953616,1.0482318431009747,3150,450,900,56385,7981,15727
87,0.04613461148137826,0.029282581968028604,1.6852029513349653,3150,450,900,56540,7656,16469
88,0.04128706293592123,0.02976408513322638,1.152297780269485,3150,450,900,55813,8004,16351
89,0.03158423173367783,0.020677041888034108,1.0907189845643726,3150,450,900,56208,7844,15693
90,0.03128796703294247,0.016372209550074165,1.4915757482868301,3150,450,900,57440,7875,16185
91,0.045837035010615944,0.029168661924159386,1.6668373086456556,3150,450,900,57035,8381,16423
92,0.042924710889996165,0.030006029633366394,1.291868125662977,3150,450,900,55271,8194,15656
93,0.04203108076036852,0.024719063714544808,1.7312017045823707,3150,450,900,56337,8478,16009
94,0.029061906788507307,0.019681384227976894,0.9380522560530413,3150,450,900,55745,8027,15803
95,0.047182397589537635,0.031039080017630973,1.6143317571906661,3150,450,900,56480,8348,15882
96,0.05407779305441324,0.03858506405997616,1.5492728994437075,3150,450,900,57572,8051,16206
97,0.03267625008395217,0.021656942627681544,1.1019307456270628,3150,450,900,55855,8061,16260
98,0.04305320923167793,0.027935755277944063,1.5117453953733864,3150,450,900,54546,8016,16284
99,0.029095494206838046,0.017219822150274434,1.187567205656361,3150,450,900,56312,8182,16138
100,0.04701505233972017,0.03592696846222105,1.1088083877499122,3150,450,900,56123,7974,15663
