generator,seed,activity_kl_divergence,trace_variant_jaccard,duration_wasserstein_hours,real_cases,synthetic_cases
ProcessGAN,41,0.180808328757579,0.0017889087656529517,7.662370094641473,899,899
ProcessGAN,42,0.013659696103916402,0.0,7.574598937893956,899,897
ProcessGAN,43,0.03287768045360501,0.0,7.572975537895523,899,899
ProcessGAN,44,0.08790758182141162,0.0,7.59245757519985,899,897
ProcessGAN,45,0.8752033594318479,0.0,7.566301455581842,899,899
PALSYN,41,0.22127147536473177,0.0013869625520110957,29588.67591291014,899,813
PALSYN,42,0.20838282076129325,0.0014336917562724014,32411.23079452274,899,791
PALSYN,43,0.23947653184688536,0.0006830601092896175,23931.993584147967,899,812
PALSYN,44,0.22458363900309986,0.0006863417982155113,20354.663045027748,899,816
PALSYN,45,0.24336684698140396,0.0,22837.4768045901,899,820
Rule_based,41,0.00015476030645144938,0.033126293995859216,1.9863527376097132,899,899
Rule_based,42,0.0008722019132888976,0.034482758620689655,1.7753911753800218,899,899
Rule_based,43,0.000466502464929178,0.03441011235955056,1.691032319861597,899,899
Rule_based,44,0.0002810498554748891,0.036440084092501754,1.9511756890372252,899,899
Rule_based,45,0.0002983065116432225,0.034818941504178275,1.154436101841552,899,899
