train_name,target,train_n,test_n,train_pos_rate,test_pos_rate,auc,accuracy,macro_f1,status,generator,seed,n_features,train_on_real_auc,utility_gap
ProcessGAN_seed41,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,ProcessGAN,41,7,,
ProcessGAN_seed41,los_over_4h,899,258,0.0011123470522803114,0.6201550387596899,0.4061224489795918,0.3798449612403101,0.2752808988764045,ok,ProcessGAN,41,7,0.7183354591836735,0.31221301020408165
ProcessGAN_seed41,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,ProcessGAN,41,7,0.7526616541353383,
ProcessGAN_seed42,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,ProcessGAN,42,7,,
ProcessGAN_seed42,los_over_4h,897,258,0.0011148272017837235,0.6201550387596899,0.41457270408163266,0.3798449612403101,0.2752808988764045,ok,ProcessGAN,42,7,0.7183354591836735,0.3037627551020408
ProcessGAN_seed42,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,ProcessGAN,42,7,0.7526616541353383,
ProcessGAN_seed43,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,ProcessGAN,43,7,,
ProcessGAN_seed43,los_over_4h,899,258,0.0011123470522803114,0.6201550387596899,0.42362882653061223,0.3798449612403101,0.2752808988764045,ok,ProcessGAN,43,7,0.7183354591836735,0.29470663265306124
ProcessGAN_seed43,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,ProcessGAN,43,7,0.7526616541353383,
ProcessGAN_seed44,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,ProcessGAN,44,7,,
ProcessGAN_seed44,los_over_4h,897,258,0.0011148272017837235,0.6201550387596899,0.4532525510204082,0.3798449612403101,0.2752808988764045,ok,ProcessGAN,44,7,0.7183354591836735,0.2650829081632653
ProcessGAN_seed44,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,ProcessGAN,44,7,0.7526616541353383,
ProcessGAN_seed45,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,ProcessGAN,45,7,,
ProcessGAN_seed45,los_over_4h,899,258,0.0011123470522803114,0.6201550387596899,0.5,0.3798449612403101,0.2752808988764045,ok,ProcessGAN,45,7,0.7183354591836735,0.21833545918367347
ProcessGAN_seed45,admission_conversion,0,258,,0.5155038759689923,,,,too_few_cases_or_missing_label,ProcessGAN,45,7,0.7526616541353383,
PALSYN_seed41,readmission_30d,0,258,,0.0,,,,too_few_cases_or_missing_label,PALSYN,41,7,,
