generator,seed,target,target_korean,tstr_auc,train_on_real_auc,utility_gap,tstr_accuracy,tstr_f1,status_utility,reason_utility,n_synthetic_train,n_real_test,pos_rate_synthetic_train,pos_rate_real_test,mia_auc,vulnerable_auc_gt_0_6,status_privacy,reason_privacy,activity_kl_divergence,trace_variant_jaccard,duration_wasserstein_hours
PALSYN,41,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.22266090911031283,0.0013956734124214933,22934.0963044493
PALSYN,41,los_over_4h,체류시간 초과,0.5948979591836735,0.6397321428571427,0.04483418367346925,0.6085271317829457,0.721763085399449,ok,,804.0,258.0,0.6791044776119403,0.6201550387596899,0.48201058885411,False,ok,,0.22266090911031283,0.0013956734124214933,22934.0963044493
PALSYN,41,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.22266090911031283,0.0013956734124214933,22934.0963044493
PALSYN,42,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.20785809597516283,0.0014419610670511895,24711.136384063422
PALSYN,42,los_over_4h,체류시간 초과,0.6278061224489796,0.6397321428571427,0.011926020408163152,0.6472868217054264,0.7775061124694377,ok,,783.0,258.0,0.6615581098339719,0.6201550387596899,0.5229647929223684,False,ok,,0.20785809597516283,0.0014419610670511895,24711.136384063422
PALSYN,42,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.20785809597516283,0.0014419610670511895,24711.136384063422
PALSYN,43,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.2378806741732611,0.0006872852233676976,17232.015015904126
PALSYN,43,los_over_4h,체류시간 초과,0.3860969387755102,0.6397321428571427,0.25363520408163254,0.6201550387596899,0.7655502392344498,ok,,803.0,258.0,0.688667496886675,0.6201550387596899,0.4775806020470635,False,ok,,0.2378806741732611,0.0006872852233676976,17232.015015904126
PALSYN,43,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.2378806741732611,0.0006872852233676976,17232.015015904126
PALSYN,44,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.2271157720264806,0.0006906077348066298,14103.630409283174
PALSYN,44,los_over_4h,체류시간 초과,0.6182397959183675,0.6397321428571427,0.02149234693877522,0.6007751937984496,0.7405541561712846,ok,,807.0,258.0,0.7001239157372986,0.6201550387596899,0.47064136723836125,False,ok,,0.2271157720264806,0.0006906077348066298,14103.630409283174
PALSYN,44,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.2271157720264806,0.0006906077348066298,14103.630409283174
PALSYN,45,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.24553504056039493,0.0,16406.911255454597
PALSYN,45,los_over_4h,체류시간 초과,0.532015306122449,0.6397321428571427,0.10771683673469379,0.6007751937984496,0.7405541561712846,ok,,811.0,258.0,0.657213316892725,0.6201550387596899,0.48102758448232746,False,ok,,0.24553504056039493,0.0,16406.911255454597
PALSYN,45,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.24553504056039493,0.0,16406.911255454597
ProcessGAN,41,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.180808328757579,0.0017889087656529517,7.662370094641473
ProcessGAN,41,los_over_4h,체류시간 초과,0.4137117346938776,0.6397321428571427,0.22602040816326513,0.3798449612403101,0.0,ok,,899.0,258.0,0.0011123470522803114,0.6201550387596899,0.5344439558165404,False,ok,,0.180808328757579,0.0017889087656529517,7.662370094641473
ProcessGAN,41,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.180808328757579,0.0017889087656529517,7.662370094641473
ProcessGAN,42,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.013659696103916402,0.0,7.574598937893956
ProcessGAN,42,los_over_4h,체류시간 초과,0.4998086734693878,0.6397321428571427,0.13992346938775496,0.3798449612403101,0.0,ok,,897.0,258.0,0.0011148272017837235,0.6201550387596899,0.5227039518500315,False,ok,,0.013659696103916402,0.0,7.574598937893956
ProcessGAN,42,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.013659696103916402,0.0,7.574598937893956
ProcessGAN,43,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.03287768045360501,0.0,7.572975537895523
ProcessGAN,43,los_over_4h,체류시간 초과,0.6230229591836735,0.6397321428571427,0.016709183673469297,0.3798449612403101,0.0,ok,,899.0,258.0,0.0011123470522803114,0.6201550387596899,0.5111342490795112,False,ok,,0.03287768045360501,0.0,7.572975537895523
ProcessGAN,43,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.03287768045360501,0.0,7.572975537895523
ProcessGAN,44,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.08790758182141162,0.0,7.59245757519985
ProcessGAN,44,los_over_4h,체류시간 초과,0.4935586734693878,0.6397321428571427,0.14617346938775494,0.3798449612403101,0.0,ok,,897.0,258.0,0.0011148272017837235,0.6201550387596899,0.5324003414646765,False,ok,,0.08790758182141162,0.0,7.59245757519985
ProcessGAN,44,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.08790758182141162,0.0,7.59245757519985
ProcessGAN,45,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.8752033594318479,0.0,7.566301455581842
ProcessGAN,45,los_over_4h,체류시간 초과,0.5,0.6397321428571427,0.13973214285714275,0.3798449612403101,0.0,ok,,899.0,258.0,0.0011123470522803114,0.6201550387596899,0.5328724422484932,False,ok,,0.8752033594318479,0.0,7.566301455581842
ProcessGAN,45,readmission_30d,재입원 예측,,,,,,skipped,too_few_labeled_train_or_test train=0 test=258,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.8752033594318479,0.0,7.566301455581842
Rule_based,41,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.00015476030645144938,0.033126293995859216,1.9863527376097132
Rule_based,41,los_over_4h,체류시간 초과,0.4575255102040816,0.6397321428571427,0.18220663265306114,0.40310077519379844,0.4253731343283582,ok,,899.0,258.0,0.6040044493882091,0.6201550387596899,0.4560105543627285,False,ok,,0.00015476030645144938,0.033126293995859216,1.9863527376097132
Rule_based,41,readmission_30d,재입원 예측,,,,,,skipped,single_class_test,,,,,,,skipped,real_member_or_nonmember_single_class,0.00015476030645144938,0.033126293995859216,1.9863527376097132
Rule_based,42,admission_conversion,입원 전환,,,,,,skipped,too_few_labeled_train_or_test train=0 test=0,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.0008722019132888976,0.034482758620689655,1.7753911753800218
Rule_based,42,los_over_4h,체류시간 초과,0.4432397959183674,0.6397321428571427,0.19649234693877538,0.42248062015503873,0.4844290657439446,ok,,899.0,258.0,0.6051167964404894,0.6201550387596899,0.5040592044562865,False,ok,,0.0008722019132888976,0.034482758620689655,1.7753911753800218
Rule_based,42,readmission_30d,재입원 예측,,,,,,skipped,single_class_train,,,,,,,skipped,synthetic_target_unavailable_or_single_class,0.0008722019132888976,0.034482758620689655,1.7753911753800218
