generator,seed,target,target_korean,n_labeled,n_cases,positive_rate,n_classes,classes
PALSYN,41,admission_conversion,입원 전환,0,804,,0,
PALSYN,41,los_over_4h,체류시간 초과,804,804,0.6791044776119403,2,"0.0,1.0"
PALSYN,41,readmission_30d,재입원 예측,0,804,,0,
PALSYN,42,admission_conversion,입원 전환,0,783,,0,
PALSYN,42,los_over_4h,체류시간 초과,783,783,0.6615581098339719,2,"0.0,1.0"
PALSYN,42,readmission_30d,재입원 예측,0,783,,0,
PALSYN,43,admission_conversion,입원 전환,0,803,,0,
PALSYN,43,los_over_4h,체류시간 초과,803,803,0.688667496886675,2,"0.0,1.0"
PALSYN,43,readmission_30d,재입원 예측,0,803,,0,
PALSYN,44,admission_conversion,입원 전환,0,807,,0,
PALSYN,44,los_over_4h,체류시간 초과,807,807,0.7001239157372986,2,"0.0,1.0"
PALSYN,44,readmission_30d,재입원 예측,0,807,,0,
PALSYN,45,admission_conversion,입원 전환,0,811,,0,
PALSYN,45,los_over_4h,체류시간 초과,811,811,0.657213316892725,2,"0.0,1.0"
PALSYN,45,readmission_30d,재입원 예측,0,811,,0,
ProcessGAN,41,admission_conversion,입원 전환,0,899,,0,
ProcessGAN,41,los_over_4h,체류시간 초과,899,899,0.0011123470522803114,2,"0.0,1.0"
ProcessGAN,41,readmission_30d,재입원 예측,0,899,,0,
ProcessGAN,42,admission_conversion,입원 전환,0,897,,0,
ProcessGAN,42,los_over_4h,체류시간 초과,897,897,0.0011148272017837235,2,"0.0,1.0"
ProcessGAN,42,readmission_30d,재입원 예측,0,897,,0,
ProcessGAN,43,admission_conversion,입원 전환,0,899,,0,
ProcessGAN,43,los_over_4h,체류시간 초과,899,899,0.0011123470522803114,2,"0.0,1.0"
ProcessGAN,43,readmission_30d,재입원 예측,0,899,,0,
ProcessGAN,44,admission_conversion,입원 전환,0,897,,0,
ProcessGAN,44,los_over_4h,체류시간 초과,897,897,0.0011148272017837235,2,"0.0,1.0"
ProcessGAN,44,readmission_30d,재입원 예측,0,897,,0,
ProcessGAN,45,admission_conversion,입원 전환,0,899,,0,
ProcessGAN,45,los_over_4h,체류시간 초과,899,899,0.0011123470522803114,2,"0.0,1.0"
ProcessGAN,45,readmission_30d,재입원 예측,0,899,,0,
Rule_based,41,admission_conversion,입원 전환,0,899,,0,
Rule_based,41,los_over_4h,체류시간 초과,899,899,0.6040044493882091,2,"0.0,1.0"
Rule_based,41,readmission_30d,재입원 예측,899,899,0.0011123470522803114,2,"0,1"
Rule_based,42,admission_conversion,입원 전환,0,899,,0,
Rule_based,42,los_over_4h,체류시간 초과,899,899,0.6051167964404894,2,"0.0,1.0"
Rule_based,42,readmission_30d,재입원 예측,899,899,0.0,1,0
Rule_based,43,admission_conversion,입원 전환,0,899,,0,
Rule_based,43,los_over_4h,체류시간 초과,899,899,0.6028921023359288,2,"0.0,1.0"
Rule_based,43,readmission_30d,재입원 예측,899,899,0.002224694104560623,2,"0,1"
Rule_based,44,admission_conversion,입원 전환,0,899,,0,
Rule_based,44,los_over_4h,체류시간 초과,899,899,0.5951056729699666,2,"0.0,1.0"
Rule_based,44,readmission_30d,재입원 예측,899,899,0.0011123470522803114,2,"0,1"
Rule_based,45,admission_conversion,입원 전환,0,899,,0,
Rule_based,45,los_over_4h,체류시간 초과,899,899,0.6173526140155728,2,"0.0,1.0"
Rule_based,45,readmission_30d,재입원 예측,899,899,0.0011123470522803114,2,"0,1"
