generator,seed,target,target_korean,mia_auc,vulnerable_auc_gt_0_6,status,reason,attack_train_n,attack_test_n
PALSYN,41,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,41,los_over_4h,체류시간 초과,0.48201058885411,False,ok,,899.0,1157.0
PALSYN,41,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,42,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,42,los_over_4h,체류시간 초과,0.5229647929223684,False,ok,,899.0,1157.0
PALSYN,42,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,43,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,43,los_over_4h,체류시간 초과,0.4775806020470635,False,ok,,899.0,1157.0
PALSYN,43,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,44,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,44,los_over_4h,체류시간 초과,0.47064136723836125,False,ok,,899.0,1157.0
PALSYN,44,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,45,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
PALSYN,45,los_over_4h,체류시간 초과,0.48102758448232746,False,ok,,899.0,1157.0
PALSYN,45,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,41,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,41,los_over_4h,체류시간 초과,0.5344439558165404,False,ok,,899.0,1157.0
ProcessGAN,41,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,42,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,42,los_over_4h,체류시간 초과,0.5227039518500315,False,ok,,899.0,1157.0
ProcessGAN,42,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,43,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,43,los_over_4h,체류시간 초과,0.5111342490795112,False,ok,,899.0,1157.0
ProcessGAN,43,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,44,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,44,los_over_4h,체류시간 초과,0.5324003414646765,False,ok,,899.0,1157.0
ProcessGAN,44,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,45,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
ProcessGAN,45,los_over_4h,체류시간 초과,0.5328724422484932,False,ok,,899.0,1157.0
ProcessGAN,45,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,41,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,41,los_over_4h,체류시간 초과,0.4560105543627285,False,ok,,899.0,1157.0
Rule_based,41,readmission_30d,재입원 예측,,,skipped,real_member_or_nonmember_single_class,,
Rule_based,42,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,42,los_over_4h,체류시간 초과,0.5040592044562865,False,ok,,899.0,1157.0
Rule_based,42,readmission_30d,재입원 예측,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,43,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,43,los_over_4h,체류시간 초과,0.5046929835907252,False,ok,,899.0,1157.0
Rule_based,43,readmission_30d,재입원 예측,,,skipped,real_member_or_nonmember_single_class,,
Rule_based,44,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,44,los_over_4h,체류시간 초과,0.49362125014012126,False,ok,,899.0,1157.0
Rule_based,44,readmission_30d,재입원 예측,,,skipped,real_member_or_nonmember_single_class,,
Rule_based,45,admission_conversion,입원 전환,,,skipped,synthetic_target_unavailable_or_single_class,,
Rule_based,45,los_over_4h,체류시간 초과,0.49043079735451106,False,ok,,899.0,1157.0
Rule_based,45,readmission_30d,재입원 예측,,,skipped,real_member_or_nonmember_single_class,,
